board,op,n,phase,ratio_ours_over_opp
rvv,silu,512,HOT,0.9637
rvv,silu,512,COLD,1.0718
rvv,silu,1024,HOT,0.9611
rvv,silu,1024,COLD,0.9814
rvv,silu,2048,HOT,0.9598
rvv,silu,2048,COLD,0.9554
rvv,silu,3072,HOT,0.9539
rvv,silu,3072,COLD,0.9514
rvv,silu,4096,HOT,0.9541
rvv,silu,4096,COLD,0.9447
rvv,silu,5120,HOT,0.9271
rvv,silu,5120,COLD,0.9266
rvv,silu,8192,HOT,0.9242
rvv,silu,8192,COLD,0.9264
rvv,silu,16384,HOT,0.9232
rvv,silu,16384,COLD,0.9236
rvv,softmax,512,HOT,1.0028
rvv,softmax,512,COLD,1.0719
rvv,softmax,1024,HOT,1.0022
rvv,softmax,1024,COLD,1.0207
rvv,softmax,2048,HOT,1.0007
rvv,softmax,2048,COLD,1.0013
rvv,softmax,3072,HOT,0.9957
rvv,softmax,3072,COLD,1.0036
rvv,softmax,4096,HOT,1.0006
rvv,softmax,4096,COLD,1.0023
rvv,softmax,5120,HOT,1.0026
rvv,softmax,5120,COLD,1.0017
rvv,softmax,8192,HOT,1.0013
rvv,softmax,8192,COLD,1.0036
rvv,softmax,16384,HOT,1.0009
rvv,softmax,16384,COLD,1.0007
k1,silu,512,HOT,1.0192
k1,silu,512,COLD,1.0040
k1,silu,1024,HOT,1.0177
k1,silu,1024,COLD,0.9787
k1,silu,2048,HOT,1.0152
k1,silu,2048,COLD,0.9969
k1,silu,3072,HOT,1.0160
k1,silu,3072,COLD,1.0043
k1,silu,4096,HOT,1.0154
k1,silu,4096,COLD,1.0096
k1,silu,5120,HOT,1.0147
k1,silu,5120,COLD,1.0079
k1,silu,8192,HOT,1.0089
k1,silu,8192,COLD,1.0132
k1,silu,16384,HOT,1.0120
k1,silu,16384,COLD,1.0112
k1,softmax,512,HOT,1.0084
k1,softmax,512,COLD,1.0030
k1,softmax,1024,HOT,1.0076
k1,softmax,1024,COLD,1.0113
k1,softmax,2048,HOT,1.0136
k1,softmax,2048,COLD,1.0054
k1,softmax,3072,HOT,1.0028
k1,softmax,3072,COLD,1.0074
k1,softmax,4096,HOT,1.0132
k1,softmax,4096,COLD,1.0058
k1,softmax,5120,HOT,1.0133
k1,softmax,5120,COLD,1.0047
k1,softmax,8192,HOT,1.0133
k1,softmax,8192,COLD,1.0013
k1,softmax,16384,HOT,1.0124
k1,softmax,16384,COLD,1.0014
