op,n,phase,ratio_ours_over_opp
add,512,HOT,1.3051
add,512,COLD,2.2493
add,1024,HOT,1.1653
add,1024,COLD,3.9529
add,2048,HOT,1.1950
add,2048,COLD,1.2374
add,3072,HOT,1.2067
add,3072,COLD,1.1618
add,4096,HOT,1.1731
add,4096,COLD,1.1818
add,5120,HOT,1.2265
add,5120,COLD,1.1950
add,8192,HOT,1.4201
add,8192,COLD,1.2001
add,16384,HOT,1.6531
add,16384,COLD,1.2012
mul,512,HOT,1.3051
mul,512,COLD,2.2667
mul,1024,HOT,1.2069
mul,1024,COLD,4.0286
mul,2048,HOT,1.1539
mul,2048,COLD,1.2351
mul,3072,HOT,1.1954
mul,3072,COLD,1.1825
mul,4096,HOT,1.1905
mul,4096,COLD,1.1835
mul,5120,HOT,1.2498
mul,5120,COLD,1.1871
mul,8192,HOT,1.2778
mul,8192,COLD,1.1834
mul,16384,HOT,1.6267
mul,16384,COLD,1.1928
scale,512,HOT,0.8914
scale,512,COLD,0.8831
scale,1024,HOT,0.9022
scale,1024,COLD,0.5633
scale,2048,HOT,0.9157
scale,2048,COLD,0.9052
scale,3072,HOT,0.9211
scale,3072,COLD,0.9283
scale,4096,HOT,0.9178
scale,4096,COLD,0.9347
scale,5120,HOT,0.9452
scale,5120,COLD,0.9386
scale,8192,HOT,0.9253
scale,8192,COLD,0.9505
scale,16384,HOT,0.9809
scale,16384,COLD,0.9540
cpy,512,HOT,1.1115
cpy,512,COLD,1.0787
cpy,1024,HOT,1.0116
cpy,1024,COLD,1.1891
cpy,2048,HOT,0.9298
cpy,2048,COLD,1.1338
cpy,3072,HOT,0.8829
cpy,3072,COLD,1.1165
cpy,4096,HOT,0.8809
cpy,4096,COLD,1.1027
cpy,5120,HOT,0.8898
cpy,5120,COLD,1.1056
cpy,8192,HOT,0.8702
cpy,8192,COLD,1.0847
cpy,16384,HOT,1.1452
cpy,16384,COLD,1.0838
silu,512,HOT,0.8415
silu,512,COLD,0.9132
silu,1024,HOT,0.8405
silu,1024,COLD,0.8248
silu,2048,HOT,0.8397
silu,2048,COLD,0.8347
silu,3072,HOT,0.8385
silu,3072,COLD,0.8361
silu,4096,HOT,0.8413
silu,4096,COLD,0.8367
silu,5120,HOT,0.8382
silu,5120,COLD,0.8352
silu,8192,HOT,0.8343
silu,8192,COLD,0.8387
silu,16384,HOT,0.8361
silu,16384,COLD,0.8396
gelu,512,HOT,0.2208
gelu,512,COLD,0.2557
gelu,1024,HOT,0.2274
gelu,1024,COLD,0.2508
gelu,2048,HOT,0.2343
gelu,2048,COLD,0.2481
gelu,3072,HOT,0.2386
gelu,3072,COLD,0.2478
gelu,4096,HOT,0.2389
gelu,4096,COLD,0.2472
gelu,5120,HOT,0.2375
gelu,5120,COLD,0.2475
gelu,8192,HOT,0.2384
gelu,8192,COLD,0.2470
gelu,16384,HOT,0.2390
gelu,16384,COLD,0.2460
rms_norm,512,HOT,1.1419
rms_norm,512,COLD,0.9758
rms_norm,1024,HOT,1.1405
rms_norm,1024,COLD,1.4092
rms_norm,2048,HOT,1.1667
rms_norm,2048,COLD,1.3284
rms_norm,3072,HOT,1.1702
rms_norm,3072,COLD,1.3381
rms_norm,4096,HOT,1.1768
rms_norm,4096,COLD,1.3351
rms_norm,5120,HOT,1.2699
rms_norm,5120,COLD,1.3412
rms_norm,8192,HOT,1.2869
rms_norm,8192,COLD,1.4241
rms_norm,16384,HOT,1.2057
rms_norm,16384,COLD,1.3096
softmax,512,HOT,0.8190
softmax,512,COLD,0.9057
softmax,1024,HOT,0.8171
softmax,1024,COLD,0.8369
softmax,2048,HOT,0.8170
softmax,2048,COLD,0.8257
softmax,3072,HOT,0.8207
softmax,3072,COLD,0.8256
softmax,4096,HOT,0.8205
softmax,4096,COLD,0.8216
softmax,5120,HOT,0.8205
softmax,5120,COLD,0.8206
softmax,8192,HOT,0.8207
softmax,8192,COLD,0.8181
softmax,16384,HOT,0.8210
softmax,16384,COLD,0.8152
rope,512,HOT,0.9775
rope,512,COLD,1.0935
rope,1024,HOT,0.9781
rope,1024,COLD,0.9840
rope,2048,HOT,0.9780
rope,2048,COLD,0.9848
rope,3072,HOT,0.9788
rope,3072,COLD,0.9867
rope,4096,HOT,0.9805
rope,4096,COLD,0.9841
rope,5120,HOT,0.9889
rope,5120,COLD,0.9818
rope,8192,HOT,0.9839
rope,8192,COLD,0.9802
rope,16384,HOT,0.9750
rope,16384,COLD,0.9725
