# Raw board logs -- W2 §③ widen-to-m1, ssh rvv (openEuler riscv64, VLEN128, 64c),
# clang 17.0.6, weft-rv commit 0e9faee0a. Captured 2026-07-19.

## objdump vtype census (widen_kernels.o, -O3 -march=rv64gcv)
      2 e16,m1
      2 e16,m2
      4 e32,m1
      9 e32,m2
      5 e32,m4
      2 e8,m1
      3 e8,mf2

## Run 1: M=2048 K=4096 NPASS=5 (cold)
format,chain,seed,min_ns,median_ns,byte_exact
q8,mf2,0,2487911,2489551,PASS
q8,m1,0,1750488,1761488,PASS
q4,mf2,0,25782137,25800538,PASS
q4,m1,0,25902038,25923678,PASS
q8,mf2,1,2491651,2493511,PASS
q8,m1,1,1761708,1765708,PASS
q4,mf2,1,26007158,26023078,PASS
q4,m1,1,24714172,26106458,PASS

## Characterization A: M=8192 K=4096 NPASS=5 (32MB weights, DRAM-bound)
format,chain,seed,min_ns,median_ns,byte_exact
q8,mf2,0,9994625,10045246,PASS
q8,m1,0,6920332,6926532,PASS
q4,mf2,0,102236064,102556526,PASS
q4,m1,0,97422223,97448702,PASS
q8,mf2,1,10017146,10024006,PASS
q8,m1,1,6914892,6963732,PASS
q4,mf2,1,102847707,102854487,PASS
q4,m1,1,97541323,97554803,PASS

## Characterization B: M=256 K=1024 NPASS=9 (cache-resident, compute-bound)
format,chain,seed,min_ns,median_ns,byte_exact
q8,mf2,0,82700,83020,PASS
q8,m1,0,56820,57360,PASS
q4,mf2,0,793924,794664,PASS
q4,m1,0,756483,756904,PASS
q8,mf2,1,82800,82941,PASS
q8,m1,1,56380,56740,PASS
q4,mf2,1,627263,627642,PASS
q4,m1,1,589883,589943,PASS
