fmt,nr,gate,hot_ratio,cold_ratio,hot_ours_gmacs,cold_ours_gmacs,cold_ours_wGBs,cold_opp_wGBs,cold_ours_iqrpct,relerr_ours
q4_0,4,PASS,6.6723,5.0906,8.2178,6.2560,0.880,0.173,1.43,1.173e-05
q4_0,16,PASS,6.7801,6.2240,8.3480,7.6506,0.269,0.043,0.84,1.175e-05
q4_0,64,PASS,6.6696,6.5577,8.2063,8.0607,0.071,0.011,0.54,1.658e-05
q4_1,4,PASS,6.6990,5.0426,8.4487,6.3441,0.991,0.197,1.70,3.681e-05
q4_1,16,PASS,6.7466,6.1047,8.5226,7.7001,0.301,0.049,0.40,2.894e-05
q4_1,64,PASS,6.7011,6.5035,8.4608,8.2030,0.080,0.012,0.31,4.509e-05
q5_0,4,PASS,1.2151,1.2157,3.8479,3.8177,0.656,0.540,0.07,2.255e-05
q5_0,16,PASS,1.2280,1.2320,3.8444,3.8299,0.165,0.134,0.07,2.140e-05
q5_0,64,PASS,1.4081,1.4178,3.8366,3.8342,0.041,0.029,0.14,3.143e-05
q5_1,4,PASS,1.3563,1.1238,4.0148,3.2930,0.617,0.549,1.63,6.139e-05
q5_1,16,PASS,1.4994,1.4116,4.0652,3.7927,0.178,0.126,1.71,9.264e-05
q5_1,64,PASS,1.4265,1.4353,3.9642,3.9862,0.047,0.033,2.30,1.066e-04
q8_0,4,PASS,4.6794,6.4832,5.1128,4.6178,1.227,0.189,1.29,5.614e-05
q8_0,16,PASS,4.1930,4.7517,5.0246,4.9677,0.330,0.069,0.21,1.810e-04
q8_0,64,PASS,4.1405,4.2672,5.0968,5.0514,0.084,0.020,0.13,1.443e-04
