cell,leg,capability_fact,plan_param,closed_form,closed_form_site,predicted,observed,product_form,consistency,leg_status,repro_cmd
q3_K@rvv,1_fact_to_plan_closedform,march=<empty> => deriveMinimumVLEN=0,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,0,0,"no repack op (block-dot stub, fail-closed)",MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march= | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gc => deriveMinimumVLEN=0,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,0,0,"no repack op (block-dot stub, fail-closed)",MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gc | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gcv_zvl64b => deriveMinimumVLEN=128,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,8,8,numHalves=2 disjoint strip(s),MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gcv_zvl64b | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gcv_zvfhmin => deriveMinimumVLEN=128,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,8,8,numHalves=2 disjoint strip(s),MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gcv_zvfhmin | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gcv_zvl256b_zvfhmin => deriveMinimumVLEN=256,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,16,16,numHalves=1 disjoint strip(s),MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gcv_zvl256b_zvfhmin | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gcv_zvl512b => deriveMinimumVLEN=512,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,16,16,numHalves=1 disjoint strip(s),MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gcv_zvl512b | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,1_fact_to_plan_closedform,march=rv64gcv_zvl1024b => deriveMinimumVLEN=1024,half_lanes,"half_lanes = (minVLEN<128) ? 0 : min(minVLEN/16, 16)",lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:916-921,16,16,numHalves=1 disjoint strip(s),MATCH,DONE-local,build-weft/bin/weft-opt test/Conversion/RVV/rvv-emit-quant-contraction-q3-K-repack-gemm-prefill-vlen128.mlir --weft-rvv-lower-quant-contraction=march=rv64gcv_zvl1024b | grep -o 'half_lanes = [0-9]*' | sort -u
q3_K@rvv,3_product_to_objdump,march=rv64gcv_zvfhmin => minVLEN=128,half_lanes=8,numHalves = 16 / half_lanes,lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:1423,numHalves=2,vwmacc.vx=2048,riscv64 ELF q3k.rv64gcv_zvfhmin.o (115784 bytes),see ratio row,DONE-local (clang++-20 --target=riscv64 + llvm-objdump-20; NO board),"weft-opt <q3k fixture> --weft-rvv-lower-quant-contraction=march=rv64gcv_zvfhmin --weft-rvv-lower-to-emitc | mlir-translate-20 --mlir-to-cpp | clang++-20 --target=riscv64-unknown-linux-gnu -march=rv64gcv_zvfhmin -ffreestanding -O2 -c -x c++ - -o o.o && llvm-objdump-20 -d --mattr=+v,+zvfhmin o.o | grep -c 'vwmacc\.vx'"
q3_K@rvv,3_product_to_objdump,march=rv64gcv_zvl256b_zvfhmin => minVLEN=256,half_lanes=16,numHalves = 16 / half_lanes,lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:1423,numHalves=1,vwmacc.vx=1024,riscv64 ELF q3k.rv64gcv_zvl256b_zvfhmin.o (58808 bytes),see ratio row,DONE-local (clang++-20 --target=riscv64 + llvm-objdump-20; NO board),"weft-opt <q3k fixture> --weft-rvv-lower-quant-contraction=march=rv64gcv_zvl256b_zvfhmin --weft-rvv-lower-to-emitc | mlir-translate-20 --mlir-to-cpp | clang++-20 --target=riscv64-unknown-linux-gnu -march=rv64gcv_zvl256b_zvfhmin -ffreestanding -O2 -c -x c++ - -o o.o && llvm-objdump-20 -d --mattr=+v,+zvfhmin o.o | grep -c 'vwmacc\.vx'"
q3_K@rvv,3_consistency_verdict,"VLEN128 vs VLEN256 (same fixture, march= only)",half_lanes 8 vs 16,ratio(vwmacc.vx) == ratio(numHalves) == 2/1,lib/Plugin/RVV/FrontDoor/RVVLowerQuantContraction.cpp:1423,2.0000,2.0000 (2048/1024),riscv64 ELF disassembly,CONSISTENT,DONE-local,python3 tools/visibility/tp_param_chain.py
