op,n,phase,ratio_ours_over_opp
add,512,HOT,1.4062
add,512,COLD,0.9704
add,1024,HOT,1.3413
add,1024,COLD,1.0531
add,2048,HOT,1.4412
add,2048,COLD,1.0048
add,3072,HOT,1.5779
add,3072,COLD,0.9865
add,4096,HOT,1.1626
add,4096,COLD,0.9831
add,5120,HOT,1.2564
add,5120,COLD,0.9898
add,8192,HOT,0.9223
add,8192,COLD,0.9853
add,16384,HOT,0.9687
add,16384,COLD,0.9751
mul,512,HOT,1.4062
mul,512,COLD,1.0007
mul,1024,HOT,1.3889
mul,1024,COLD,1.0451
mul,2048,HOT,1.1854
mul,2048,COLD,1.0000
mul,3072,HOT,1.4817
mul,3072,COLD,0.9916
mul,4096,HOT,1.2889
mul,4096,COLD,0.9861
mul,5120,HOT,0.9788
mul,5120,COLD,0.9922
mul,8192,HOT,0.9658
mul,8192,COLD,0.9712
mul,16384,HOT,0.9330
mul,16384,COLD,0.9839
scale,512,HOT,1.0217
scale,512,COLD,0.9808
scale,1024,HOT,1.0337
scale,1024,COLD,1.0476
scale,2048,HOT,1.0877
scale,2048,COLD,1.0342
scale,3072,HOT,1.0350
scale,3072,COLD,1.0240
scale,4096,HOT,1.0957
scale,4096,COLD,1.0195
scale,5120,HOT,1.3528
scale,5120,COLD,1.0184
scale,8192,HOT,0.8250
scale,8192,COLD,1.0127
scale,16384,HOT,1.0562
scale,16384,COLD,1.0065
cpy,512,HOT,1.5652
cpy,512,COLD,1.1643
cpy,1024,HOT,1.4674
cpy,1024,COLD,0.9687
cpy,2048,HOT,1.3830
cpy,2048,COLD,0.9847
cpy,3072,HOT,1.3792
cpy,3072,COLD,0.9910
cpy,4096,HOT,1.4203
cpy,4096,COLD,0.9940
cpy,5120,HOT,1.4351
cpy,5120,COLD,0.9953
cpy,8192,HOT,1.5089
cpy,8192,COLD,0.9996
cpy,16384,HOT,1.3411
cpy,16384,COLD,0.9964
silu,512,HOT,0.7657
silu,512,COLD,0.8850
silu,1024,HOT,0.7481
silu,1024,COLD,0.7907
silu,2048,HOT,0.7723
silu,2048,COLD,0.7740
silu,3072,HOT,0.7696
silu,3072,COLD,0.7635
silu,4096,HOT,0.7703
silu,4096,COLD,0.7622
silu,5120,HOT,0.7460
silu,5120,COLD,0.7518
silu,8192,HOT,0.7447
silu,8192,COLD,0.7533
silu,16384,HOT,0.7479
silu,16384,COLD,0.7536
gelu,512,HOT,0.1444
gelu,512,COLD,0.1614
gelu,1024,HOT,0.1458
gelu,1024,COLD,0.1564
gelu,2048,HOT,0.1477
gelu,2048,COLD,0.1532
gelu,3072,HOT,0.1390
gelu,3072,COLD,0.1527
gelu,4096,HOT,0.1460
gelu,4096,COLD,0.1492
gelu,5120,HOT,0.1468
gelu,5120,COLD,0.1486
gelu,8192,HOT,0.1384
gelu,8192,COLD,0.1460
gelu,16384,HOT,0.1347
gelu,16384,COLD,0.1444
rms_norm,512,HOT,1.0820
rms_norm,512,COLD,1.4077
rms_norm,1024,HOT,1.0736
rms_norm,1024,COLD,1.2593
rms_norm,2048,HOT,1.0987
rms_norm,2048,COLD,1.1879
rms_norm,3072,HOT,1.0972
rms_norm,3072,COLD,1.1603
rms_norm,4096,HOT,1.0999
rms_norm,4096,COLD,1.1517
rms_norm,5120,HOT,1.0859
rms_norm,5120,COLD,1.1414
rms_norm,8192,HOT,1.0922
rms_norm,8192,COLD,1.1276
rms_norm,16384,HOT,1.0879
rms_norm,16384,COLD,1.1237
softmax,512,HOT,0.8496
softmax,512,COLD,0.9150
softmax,1024,HOT,0.8523
softmax,1024,COLD,0.8665
softmax,2048,HOT,0.8540
softmax,2048,COLD,0.8575
softmax,3072,HOT,0.8532
softmax,3072,COLD,0.8569
softmax,4096,HOT,0.8532
softmax,4096,COLD,0.8544
softmax,5120,HOT,0.8539
softmax,5120,COLD,0.8560
softmax,8192,HOT,0.8543
softmax,8192,COLD,0.8570
softmax,16384,HOT,0.8536
softmax,16384,COLD,0.8540
rope,512,HOT,0.9892
rope,512,COLD,1.0139
rope,1024,HOT,0.9932
rope,1024,COLD,0.9948
rope,2048,HOT,0.9868
rope,2048,COLD,1.0017
rope,3072,HOT,0.9876
rope,3072,COLD,1.0053
rope,4096,HOT,0.9846
rope,4096,COLD,1.0086
rope,5120,HOT,0.9979
rope,5120,COLD,1.0166
rope,8192,HOT,0.9965
rope,8192,COLD,1.0285
rope,16384,HOT,1.0055
rope,16384,COLD,1.0451
