vec_dot|q4_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot125/rvv12/mac3/vset4;ggml-block-dot-weak,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,light-vec,ggml_vec_dot_q4_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q4_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot76/rvv10/mac3/vset4;ggml-block-dot-weak,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,light-vec,ggml_vec_dot_q4_1_q8_1,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q5_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot112/rvv22/mac4/vset10/csrr1;better-vec-qh5bit-VLENadaptive,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,native-vec-moderate,ggml_vec_dot_q5_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q5_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot120/rvv20/mac4/vset10/csrr1;better-vec-qh5bit,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,native-vec-moderate,ggml_vec_dot_q5_1_q8_1,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q8_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot66/rvv6/mac2/vset4;ggml-block-dot-weak,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,light-vec,ggml_vec_dot_q8_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q2_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot235/rvv125/mac66/vset9;SpacemiT-vl128-unrolled-STRONG,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,hand-tuned,ggml_vec_dot_q2_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q3_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot238/rvv102/mac36/vset14;SpacemiT-vl128-STRONG,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,hand-tuned,ggml_vec_dot_q3_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q4_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot220/rvv105/mac35/vset7;SpacemiT-vl128-STRONG,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,hand-tuned,ggml_vec_dot_q4_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q5_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot238/rvv82/mac26/vset15;NO-vl-spec-唯一未手调-MODERATE,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,native-vec-moderate,ggml_vec_dot_q5_K_q8_K,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
vec_dot|q6_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot232/rvv84/mac36/vset10;SpacemiT-vl128-STRONG,pending-§6,pending-§6,pending-§6,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,pending-§6,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,pending-§6,hand-tuned,ggml_vec_dot_q6_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,pending-§6,in-denom
