axis,fmt,board,vlen,hot_ratio,cold_med_ratio_M1,cold_med_ratio_M8,our_GBs,opp_GBs,opponent_class,verdict_cold,byte_mismatch,worst_ulp
vecdot,iq1_s,k1,256,0.3633,0.3672,0.3638,,,VLEN-dispatch-RVV-gather(strong),LOSS_0.37x_gather-bound,0,0
vecdot,iq1_m,k1,256,0.2406,0.2474,0.2416,,,VLEN-dispatch-RVV-gather(strong),LOSS_0.24x_gather-bound,0,0
vecdot,iq4_nl,k1,256,0.6862,0.6943,0.6853,,,dispatcher->vl256-RVV(strong),LOSS_0.69x,0,0
vecdot,nvfp4,k1,256,1.0664,1.0639,1.0432,,,near-SCALAR-unoptimized(rvv2/194)(weak),WIN_1.06x_opponent-immaturity,0,0
dequant,q2_K,k1,256,0.7708,0.8065,,0.51,0.64,deployed-scalar-reference(rvv0),LOSS_0.81x_ours-scalar,0,0
dequant,q3_K,k1,256,1.9667,1.9397,,1.03,0.53,deployed-scalar-reference(rvv0),WIN_1.94x_DEQ-AXIS,0,0
dequant,q4_K,k1,256,2.8505,2.7810,,2.13,0.77,deployed-scalar-reference(rvv0),WIN_2.78x_DEQ-AXIS,0,0
dequant,q5_K,k1,256,5.3380,5.1408,,2.72,0.53,deployed-scalar-reference(rvv0),WIN_5.14x_DEQ-AXIS,0,0
dequant,q6_K,k1,256,1.1156,1.1321,,0.56,0.50,deployed-scalar-reference(rvv0),WIN_1.13x_DEQ-AXIS(ours-scalar-too),0,0
dequant,iq1_s,k1,256,3.0410,2.9167,,1.57,0.54,deployed-scalar-reference(rvv0),WIN_2.92x_DEQ-AXIS,0,0
dequant,iq1_m,k1,256,3.7063,3.6331,,1.73,0.48,deployed-scalar-reference(rvv0),WIN_3.63x_DEQ-AXIS,0,0
dequant,iq2_xxs,k1,256,2.2013,1.8391,,1.06,0.58,deployed-scalar-reference(rvv0),WIN_1.84x_DEQ-AXIS,0,0
dequant,iq2_xs,k1,256,0.9245,0.9255,,0.48,0.52,deployed-scalar-reference(rvv0),LOSS_0.93x,0,0
dequant,iq2_s,k1,256,1.9093,1.7043,,0.99,0.58,deployed-scalar-reference(rvv0),WIN_1.70x_DEQ-AXIS,0,0
dequant,iq3_xxs,k1,256,0.5380,0.5258,,0.31,0.58,deployed-scalar-reference(rvv0),LOSS_0.53x_heavy-gather,0,0
dequant,iq3_s,k1,256,0.6599,0.6662,,0.41,0.61,deployed-scalar-reference(rvv0),LOSS_0.67x_heavy-gather,0,0
dequant,iq4_nl,k1,256,3.1567,3.7550,,2.23,0.59,deployed-scalar-reference(rvv0),WIN_3.76x_DEQ-AXIS,0,0
dequant,iq4_xs,k1,256,2.7400,3.2767,,1.97,0.60,deployed-scalar-reference(rvv0),WIN_3.28x_DEQ-AXIS,0,0
dequant,mxfp4,k1,256,2.8175,3.1675,,2.19,0.69,deployed-scalar-reference(rvv0),WIN_3.17x_DEQ-AXIS,0,0
dequant,nvfp4,k1,256,0.7040,0.7404,,0.32,0.43,deployed-scalar-reference(rvv0),LOSS_0.74x_ours-scalar-ldexpf,0,0
dequant,tq1_0,k1,256,2.2526,2.2325,,1.04,0.47,deployed-scalar-reference(rvv0),WIN_2.23x_DEQ-AXIS,0,0
dequant,tq2_0,k1,256,4.4411,4.2230,,3.13,0.74,deployed-scalar-reference(rvv0),WIN_4.22x_DEQ-AXIS,0,0
