# G8 §六.3 S6-tile q3_K/q6_K GEMM cold A/B (clang-18 sym · rvv VLEN128 · K=2048 nc=512 hiters=4 reps=12 · core8 pin)
# opponent = ggml_vec_dot_q{3,6}_K_q8_K (vl128 block-dot cross-op) from /tmp/g8s3/rvv/quants_opp.o (clang-18-recompiled vericurve, §六 定档)
# ratio = ours_gmacs / opp_gmacs (cold median). byte-exact S6==PLAIN 27/27 all shapes.
# harness = experiments/active/g7-census/batch1-kquant-rvv/kquant_gemm_census_driver.c (224MiB flush paired A/B)

fmt   core           nr   ours_cold_gmacs  opp_cold_gmacs  ratio_cold_med  ratio_cold_best  ratio_hot
q6_K  PLAIN          4    0.4785           3.5022          0.1366          0.1367           0.1493
q6_K  PLAIN          8    0.5231           3.5680          0.1466          0.1460           0.1497
q6_K  PLAIN          16   0.5481           3.3103          0.1656          0.1646           0.1538
q6_K  PLAIN          64   0.5684           3.7076          0.1533          0.1531           0.1525
q6_K  S6-unrolled    4    2.1515           3.5209          0.6111          0.6093           1.1703
q6_K  S6-unrolled    8    2.8775           3.5738          0.8052          0.8141           1.1691
q6_K  S6-unrolled    16   3.3275           3.4645          0.9604          0.9625           1.1119
q6_K  S6-unrolled    64   4.1795           3.6755          1.1371          1.1409           1.1998
q6_K  S6-rolled      16   2.9269           3.4628          0.8452          0.8596           0.9273
q6_K  S6-rolled      64   3.3202           3.6979          0.8979          0.9135           0.9259
q3_K  PLAIN          4    0.4922           3.2472          0.1516          0.1544           0.1669
q3_K  PLAIN          8    0.5346           3.3826          0.1580          0.1591           0.1652
q3_K  PLAIN          16   0.5587           3.3793          0.1653          0.1651           0.1673
q3_K  PLAIN          64   0.5790           3.4907          0.1659          0.1660           0.1683
q3_K  S6-unrolled    4    1.7221           3.2583          0.5285          0.5303           0.8243
q3_K  S6-unrolled    8    2.1319           3.4022          0.6266          0.6455           0.8196
q3_K  S6-unrolled    16   2.4385           3.4760          0.7015          0.7087           0.8142
q3_K  S6-unrolled    64   2.7522           3.4896          0.7887          0.7932           0.8350
q3_K  S6-rolled      4    4.7939           3.2344          1.4821          1.5053           1.4238
q3_K  S6-rolled      8    4.8108           3.4142          1.4091          1.4089           1.3967
q3_K  S6-rolled      16   4.8442           3.4634          1.3987          1.4082           1.4046
q3_K  S6-rolled      64   4.9026           3.4841          1.4071          1.4083           1.4286

# SHIP verdict (prefill nr>=16 cold primary):
#   q6_K -> S6-unrolled  (cold nr16 0.960 / nr64 1.137)  WIN
#   q3_K -> S6-rolled    (cold nr16 1.399 / nr64 1.407)  WIN   [ROLL measured-beneficial for q3_K only]
# board hygiene: core8 pin (freq 2.6GHz) · co-tenant vLLM core0,1 未扰 · loadavg begin 2.18 -> final 2.18
