round,fmt,ours_gmacs,opp_gmacs,ratio_ours_over_opp
1,q4_K,3.5676,1.1513,3.099
2,q4_K,3.5452,1.1506,3.081
3,q4_K,3.5822,1.1522,3.109
4,q4_K,3.5522,1.1502,3.088
5,q4_K,3.5478,1.1442,3.101
6,q4_K,3.5680,1.1461,3.113
7,q4_K,3.5574,1.1403,3.120
8,q4_K,3.5689,1.1468,3.112
9,q4_K,3.5462,1.1415,3.107
10,q4_K,3.5405,1.1408,3.104
11,q4_K,3.5475,1.1375,3.119
12,q4_K,3.5263,1.1547,3.054
1,q5_K,1.1071,0.5797,1.910
2,q5_K,1.1113,0.5823,1.909
3,q5_K,1.1164,0.5809,1.922
4,q5_K,1.1182,0.5827,1.919
5,q5_K,1.1181,0.5818,1.922
6,q5_K,1.1143,0.5837,1.909
7,q5_K,1.1185,0.5858,1.909
8,q5_K,1.1159,0.5826,1.915
9,q5_K,1.1178,0.5834,1.916
10,q5_K,1.1224,0.5812,1.931
11,q5_K,1.1289,0.5822,1.939
12,q5_K,1.1179,0.5833,1.916
# ---- summary (k1/SpacemiT-X60/VLEN256, core7, gov=perf 1.6GHz, cold N=12, iters=20, K=2048 nr=64 nc=512) ----
# q4_K: median ratio 3.106x  IQR[3.096,3.112]  min 3.054 max 3.120  cv 0.58%  ALL12>1 (sign-test p=2^-12)  ours 3.550 GMAC/s (cv0.41%) / factory block-dot 1.146 GMAC/s (cv0.46%)
# q5_K: median ratio 1.916x  IQR[1.910,1.922]  min 1.909 max 1.939  cv 0.47%  ALL12>1 (sign-test p=2^-12)  ours 1.118 GMAC/s (cv0.46%) / factory block-dot 0.583 GMAC/s (cv0.26%)
# opponent = board's own /data/k1build-stock libggml-cpu.so dispatched ggml_vec_dot_q{4,5}_K_q8_K (VLEN256 branch via __riscv_vlenb); ggml ships NO K-quant repack trait (upstream: only q4_0/q4_1/q8_0/iq4_nl interleaved) so block-dot IS the factory K-quant mul_mat fallback.
# [NG-4]: kernel-axis prefill-GEMM datapoint, NOT an e2e beat, NOT a sealed 8-gate Win. Ours=clang-18; opponent=factory-as-shipped (same ours-vs-factory toolchain asymmetry as board A rvv128).
