[pl-ab] board=rvv core=8 K=2048 nr=64 nc=512 iters=20 N=12 march=rv64gcv_zfh_zvfh_zba_zbb_zbc_zbs


[preflight] freq=2600000 gov=performance vlenb=
[compile] PRE + POST q4_K kernels + shared q5_K + driver (clang-17 -O2)
[objdump] measured-binary vsetvli (clang-17 -O2, the ACTUAL board form):
  OBJD pre_q4k.o vset_all=53 vsetvli=52 vwmacc=2240 fp16libcall=0
  OBJD post_q4k.o vset_all=53 vsetvli=52 vwmacc=2240 fp16libcall=0
=== PIPELINE A/B (cold N=12 rounds, each round pre then post as fresh procs) ===
ROUND 1 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15793633.1 ours_gmacs=4.2491 opp_ns=15245018.9 opp_gmacs=4.4020 ratio_ours_over_opp=0.965 sink=49115.7
ROUND 1 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15860302.3 ours_gmacs=4.2312 opp_ns=15547841.1 opp_gmacs=4.3163 ratio_ours_over_opp=0.980 sink=49115.7
ROUND 2 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15811746.2 ours_gmacs=4.2442 opp_ns=15268127.0 opp_gmacs=4.3954 ratio_ours_over_opp=0.966 sink=49115.7
ROUND 2 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15721527.8 ours_gmacs=4.2686 opp_ns=15198449.7 opp_gmacs=4.4155 ratio_ours_over_opp=0.967 sink=49115.7
ROUND 3 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15813271.2 ours_gmacs=4.2438 opp_ns=15162419.6 opp_gmacs=4.4260 ratio_ours_over_opp=0.959 sink=49115.7
ROUND 3 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15704143.8 ours_gmacs=4.2733 opp_ns=15218694.8 opp_gmacs=4.4096 ratio_ours_over_opp=0.969 sink=49115.7
ROUND 4 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15810389.2 ours_gmacs=4.2446 opp_ns=15216934.8 opp_gmacs=4.4101 ratio_ours_over_opp=0.962 sink=49115.7
ROUND 4 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15697055.8 ours_gmacs=4.2753 opp_ns=15203065.7 opp_gmacs=4.4142 ratio_ours_over_opp=0.969 sink=49115.7
ROUND 5 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15819378.2 ours_gmacs=4.2422 opp_ns=15214727.8 opp_gmacs=4.4108 ratio_ours_over_opp=0.962 sink=49115.7
ROUND 5 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15713583.8 ours_gmacs=4.2708 opp_ns=15099562.3 opp_gmacs=4.4444 ratio_ours_over_opp=0.961 sink=49115.7
ROUND 6 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15802962.2 ours_gmacs=4.2466 opp_ns=15559245.2 opp_gmacs=4.3131 ratio_ours_over_opp=0.985 sink=49115.7
ROUND 6 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15710698.8 ours_gmacs=4.2715 opp_ns=15171681.6 opp_gmacs=4.4233 ratio_ours_over_opp=0.966 sink=49115.7
ROUND 7 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15803126.2 ours_gmacs=4.2466 opp_ns=15230620.8 opp_gmacs=4.4062 ratio_ours_over_opp=0.964 sink=49115.7
ROUND 7 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15717137.8 ours_gmacs=4.2698 opp_ns=15256700.9 opp_gmacs=4.3986 ratio_ours_over_opp=0.971 sink=49115.7
ROUND 8 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15810259.2 ours_gmacs=4.2446 opp_ns=15388234.4 opp_gmacs=4.3611 ratio_ours_over_opp=0.973 sink=49115.7
ROUND 8 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15699740.8 ours_gmacs=4.2745 opp_ns=15341611.2 opp_gmacs=4.3743 ratio_ours_over_opp=0.977 sink=49115.7
ROUND 9 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15799086.1 ours_gmacs=4.2476 opp_ns=15189969.7 opp_gmacs=4.4180 ratio_ours_over_opp=0.961 sink=49115.7
ROUND 9 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15693938.7 ours_gmacs=4.2761 opp_ns=15281586.0 opp_gmacs=4.3915 ratio_ours_over_opp=0.974 sink=49115.7
ROUND 10 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15815296.2 ours_gmacs=4.2433 opp_ns=15183435.6 opp_gmacs=4.4199 ratio_ours_over_opp=0.960 sink=49115.7
ROUND 10 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15696024.7 ours_gmacs=4.2755 opp_ns=15189199.7 opp_gmacs=4.4182 ratio_ours_over_opp=0.968 sink=49115.7
ROUND 11 pre  KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15805661.2 ours_gmacs=4.2459 opp_ns=15116625.3 opp_gmacs=4.4394 ratio_ours_over_opp=0.956 sink=49115.7
ROUND 11 post KQGEMM fmt=q4_K VLEN=128 K=2048 nr=64 nc=512 iters=20 ours_ns=15711895.8 ours_gmacs=4.2712 opp_ns=15239075.8 opp_gmacs=4.4037 ratio_ours_over_opp=0.970 sink=49115.7
