lane,board,fmt,M,K,nc,ratio_cold_med,ratio_cold_best,ratio_hot,ours_gmacs,opp_gmacs,ours_wGBs,opp_wGBs,o_iqr,p_iqr,ours_ns,opp_ns,byte_mismatch
blockdot,k1,q2_K,1,2048,512,0.6839,0.6836,0.677,0.8338099130705836,1.2192673298411056,,,3.36,4.47,1257572.0,860005.0,0
blockdot,k1,q2_K,2,2048,512,0.6687,0.6798,0.6778,0.8187151671119759,1.2243090336015487,,,1.84,2.47,2561516.0,1712927.0,0
blockdot,k1,q2_K,4,2048,512,0.6756,0.6717,0.6788,0.8210119991387241,1.2152929211565597,,,0.91,0.29,5108700.0,3451270.0,0
blockdot,k1,q2_K,8,2048,512,0.6762,0.6766,0.6784,0.8256346286301226,1.2209900160589013,,,0.38,0.52,10160194.0,6870333.0,0
blockdot,k1,q2_K,16,2048,512,0.6776,0.6772,0.6776,0.8296133078606048,1.2242715105463902,,,0.15,0.25,20222935.0,13703836.0,0
blockdot,k1,q2_K,32,2048,512,0.6769,0.6772,0.6773,0.83033512650483,1.2267161548657841,,,0.18,0.17,40410710.0,27353053.0,0
blockdot,k1,q3_K,1,2048,512,0.5391,0.5391,0.5393,0.6560369481258473,1.2169099343020713,,,2.6,4.26,1598349.0,861671.0,0
blockdot,k1,q3_K,2,2048,512,0.5331,0.5405,0.5393,0.6519498945826486,1.2229111573079245,,,0.21,2.49,3216738.0,1714885.0,0
blockdot,k1,q3_K,4,2048,512,0.5383,0.535,0.5379,0.6558789642304473,1.2184406368432765,,,0.54,0.41,6394936.0,3442354.0,0
blockdot,k1,q3_K,8,2048,512,0.5374,0.5371,0.5378,0.6555777747420471,1.2198284831409616,,,0.72,0.5,12795748.0,6876875.0,0
blockdot,k1,q3_K,16,2048,512,0.5385,0.538,0.5391,0.6571397191800857,1.2202831031988215,,,0.28,0.28,25530668.0,13748626.0,0
blockdot,k1,q3_K,32,2048,512,0.5372,0.5366,0.5381,0.657555980115782,1.2240052076275183,,,0.27,0.38,51029012.0,27413635.0,0
blockdot,k1,q4_0,1,2048,512,0.9835,0.9948,0.9822,1.1044408258533123,1.1229200444637681,,,0.15,4.18,949418.0,933794.0,0
blockdot,k1,q4_0,2,2048,512,0.9687,0.9794,0.9866,1.089476019238222,1.124626626353932,,,2.21,2.45,1924918.0,1864754.0,0
blockdot,k1,q4_0,4,2048,512,0.9829,0.97,0.982,1.096142844710501,1.1152693882337237,,,0.42,0.42,3826421.0,3760799.0,0
blockdot,k1,q4_0,8,2048,512,0.9822,0.9822,0.9835,1.0980618022092639,1.1179261281366597,,,0.47,0.38,7639468.0,7503723.0,0
blockdot,k1,q4_0,16,2048,512,0.9843,0.9836,0.9828,1.10236348366293,1.1199718985932807,,,0.13,0.26,15219314.0,14980033.0,0
blockdot,k1,q4_0,32,2048,512,0.9835,0.9843,0.9829,1.106612171594376,1.1251226657626636,,,0.27,0.22,30321763.0,29822910.0,0
blockdot,k1,q4_1,1,2048,512,1.0104,1.0065,1.0079,1.1428073204118823,1.131045016319953,,,4.8,4.68,917544.0,927086.0,0
blockdot,k1,q4_1,2,2048,512,1.0062,1.0116,1.0109,1.1399337070870799,1.1329550967398974,,,2.47,2.32,1839714.0,1851046.0,0
blockdot,k1,q4_1,4,2048,512,1.0077,0.9952,1.0075,1.1267414334636756,1.1181184981083467,,,0.42,0.3,3722508.0,3751216.0,0
blockdot,k1,q4_1,8,2048,512,1.0091,1.0101,1.008,1.1315538326584476,1.121300464554743,,,0.15,0.33,7413353.0,7481142.0,0
blockdot,k1,q4_1,16,2048,512,1.007,1.0065,1.0069,1.135699559108925,1.12779507507367,,,0.16,0.27,14772583.0,14876121.0,0
blockdot,k1,q4_1,32,2048,512,1.0083,1.0091,1.0081,1.134230998309188,1.1249340634325369,,,0.22,0.33,29583420.0,29827910.0,0
blockdot,k1,q4_K,1,2048,512,0.6222,0.6213,0.612,0.7975314444959107,1.2818667810911153,,,3.13,5.1,1314777.0,818007.0,0
blockdot,k1,q4_K,2,2048,512,0.6069,0.6165,0.6125,0.787844112090408,1.2980654841117654,,,1.62,3.03,2661887.0,1615598.0,0
blockdot,k1,q4_K,4,2048,512,0.614,0.607,0.6107,0.7952316859225564,1.2952594592791788,,,0.34,0.32,5274317.0,3238196.0,0
blockdot,k1,q4_K,8,2048,512,0.6098,0.6083,0.6099,0.7933608417035443,1.3011187600498633,,,0.38,0.56,10573509.0,6447227.0,0
