# board	rowkey	vlen	ledger	opp_grade	opp_symbol	objdump_metric	hardgate	compiler_axis	note
rvv	vec_dot|q4_0|typed-flat|arity2|micro-fixed	128	matmul-kernel-sym	light-vec	ggml_vec_dot_q4_0_q8_0	tot125/rvv12/mac3/vset4	in-denom	clang18-sym	ggml-block-dot-weak
rvv	vec_dot|q4_1|typed-flat|arity2|micro-fixed	128	matmul-kernel-sym	light-vec	ggml_vec_dot_q4_1_q8_1	tot76/rvv10/mac3/vset4	in-denom	clang18-sym	ggml-block-dot-weak
rvv	vec_dot|q5_0|typed-flat|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-moderate	ggml_vec_dot_q5_0_q8_0	tot112/rvv22/mac4/vset10/csrr1	in-denom	clang18-sym	better-vec-qh5bit-VLENadaptive
rvv	vec_dot|q5_1|typed-flat|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-moderate	ggml_vec_dot_q5_1_q8_1	tot120/rvv20/mac4/vset10/csrr1	in-denom	clang18-sym	better-vec-qh5bit
rvv	vec_dot|q8_0|typed-flat|arity2|micro-fixed	128	matmul-kernel-sym	light-vec	ggml_vec_dot_q8_0_q8_0	tot66/rvv6/mac2/vset4	in-denom	clang18-sym	ggml-block-dot-weak
rvv	vec_dot|q2_K|typed-super-block|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_q2_K_q8_K_vl128	tot235/rvv125/mac66/vset9	in-denom	clang18-sym	SpacemiT-vl128-unrolled-STRONG
rvv	vec_dot|q3_K|typed-super-block|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_q3_K_q8_K_vl128	tot238/rvv102/mac36/vset14	in-denom	clang18-sym	SpacemiT-vl128-STRONG
rvv	vec_dot|q4_K|typed-super-block|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_q4_K_q8_K_vl128	tot220/rvv105/mac35/vset7	in-denom	clang18-sym	SpacemiT-vl128-STRONG
rvv	vec_dot|q5_K|typed-super-block|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-moderate	ggml_vec_dot_q5_K_q8_K	tot238/rvv82/mac26/vset15	in-denom	clang18-sym	NO-vl-spec-唯一未手调-MODERATE
rvv	vec_dot|q6_K|typed-super-block|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_q6_K_q8_K_vl128	tot232/rvv84/mac36/vset10	in-denom	clang18-sym	SpacemiT-vl128-STRONG
rvv	gemm|q2_K|repack-gemm|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned-CROSSOP	ggml_vec_dot_q2_K_q8_K_vl128	cross-op-vs-blockdot-no-repack-GEMM-opp	in-denom	clang18-sym	our-gemm-vs-opp-vl128-blockdot
rvv	gemm|q3_K|repack-gemm|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned-CROSSOP	ggml_vec_dot_q3_K_q8_K_vl128	cross-op-vs-blockdot	in-denom	clang18-sym	our-gemm-vs-opp-vl128-blockdot
rvv	gemm|q4_K|repack-gemm|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned-CROSSOP	ggml_vec_dot_q4_K_q8_K_vl128	cross-op-vs-blockdot	in-denom	clang18-sym	our-gemm-vs-opp-vl128-blockdot
rvv	gemm|q5_K|repack-gemm|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-moderate-CROSSOP	ggml_vec_dot_q5_K_q8_K	cross-op-vs-blockdot-no-vl-spec	in-denom	clang18-sym	our-gemm-vs-opp-MODERATE
rvv	gemm|q6_K|repack-gemm|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned-CROSSOP	ggml_vec_dot_q6_K_q8_K_vl128	cross-op-vs-blockdot	in-denom	clang18-sym	our-gemm-vs-opp-vl128-blockdot
rvv	vec_dot|iq1_s|typed-grid|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_iq1_s_q8_K_vl128	tot225/rvv68/mac19/gather5/csrr6	in-denom	clang18-sym	SpacemiT-vl128-gather-STRONG
rvv	vec_dot|iq1_m|typed-grid|arity2|micro-fixed	128	matmul-kernel-sym	hand-tuned	ggml_vec_dot_iq1_m_q8_K_vl128	tot253/rvv62/mac26/gather2/csrr8	in-denom	clang18-sym	SpacemiT-vl128-STRONG
rvv	vec_dot|iq4_nl|typed-codebook|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-moderate	ggml_vec_dot_iq4_nl_q8_0_vl128	tot102/rvv18/mac4/gather2/vset11	in-denom	clang18-sym	hand-vl128-light-codebook-gather
rvv	vec_dot|nvfp4|typed-codebook|arity2|micro-fixed	128	matmul-kernel-sym	native-vec-generic-weak	ggml_vec_dot_nvfp4_q8_0	tot214/rvv23/mac2/NO-riscv-spec-generic	in-denom	clang18-sym	generic-C-autovec-NO-vl-spec-weak
rvv	forward|softmax|reduce-strip|arity1|f32	128	forward-op	native-vec	ggml_compute_forward_soft_max	tot592/rvv19/mac4/csrr1	in-denom	clang18-sym	expf-reduce-max-sub
rvv	forward|rms_norm|reduce-strip|arity1|f32	128	forward-op	native-vec	ggml_compute_forward_rms_norm	tot277/rvv10/mac2/csrr3	in-denom	clang18-sym	2-pass-VLENadaptive
rvv	forward|rope|rotate-strip|arity1|f32	128	forward-op	native-vec	ggml_compute_forward_rope_flt_f32	tot1184/rvv32/mac12	in-denom	clang18-sym	autovec+scalar-sin-cos
