fmt,board,compiler,VLEN,axis,opp_class,ratio_hot,ratio_cold_med,ratio_cold_best,o_iqr,p_iqr,our_GBs,opp_GBs,verdict,byte_exact
q2_K,rvv,gcc-15.2,128,DEQ-AXIS,autovec10rvv+gath,0.7425,0.8244,0.8227,0.58,1.09,0.60,0.73,LOSS,0mism/0ULP
q3_K,rvv,gcc-15.2,128,DEQ-AXIS,autovec34rvv,0.7428,1.2491,1.2464,1.41,0.72,1.37,1.10,WIN,0mism/0ULP
q4_K,rvv,gcc-15.2,128,DEQ-AXIS,autovec25rvv,0.6929,0.3170,0.3189,1.24,0.61,1.06,3.34,LOSS,0mism/0ULP
q5_K,rvv,gcc-15.2,128,DEQ-AXIS,autovec45rvv,0.5623,0.6138,0.6173,44.32,2.74,1.01,1.64,LOSS,0mism/0ULP
q6_K,rvv,gcc-15.2,128,DEQ-AXIS,autovec34rvv,1.6121,1.6560,1.6716,1.35,0.87,2.32,1.40,WIN,0mism/0ULP
iq1_s,rvv,gcc-15.2,128,DEQ-AXIS,autovec14rvv,0.9400,0.9775,0.9784,0.21,0.16,3.04,3.11,PARITY,0mism/0ULP
iq1_m,rvv,gcc-15.2,128,DEQ-AXIS,autovec12rvv,0.5700,0.3480,0.3504,1.32,0.11,1.09,3.12,LOSS,0mism/0ULP
iq2_xxs,rvv,gcc-15.2,128,DEQ-AXIS,autovec70rvv+gath,3.1878,3.8761,3.8705,0.94,0.26,1.03,0.27,WIN,0mism/0ULP
iq2_xs,rvv,gcc-15.2,128,DEQ-AXIS,SCALAR0rvv,3.1565,2.9494,2.9494,2.54,1.08,2.76,0.94,WIN,0mism/0ULP
iq2_s,rvv,gcc-15.2,128,DEQ-AXIS,SCALAR0rvv,3.3521,3.1041,3.0897,0.27,0.94,2.79,0.90,WIN,0mism/0ULP
iq3_xxs,rvv,gcc-15.2,128,DEQ-AXIS,autovec72rvv+gath,1.9845,1.4677,1.9578,8.42,0.51,0.40,0.27,WIN,0mism/0ULP
iq3_s,rvv,gcc-15.2,128,DEQ-AXIS,autovec140rvv+gath,0.5872,0.2515,0.3248,3.66,1.33,0.38,1.53,LOSS,0mism/0ULP
iq4_nl,rvv,gcc-15.2,128,DEQ-AXIS,autovec8rvv,2.3143,7.0461,2.0561,0.42,0.33,4.10,0.58,WIN,0mism/0ULP
iq4_xs,rvv,gcc-15.2,128,DEQ-AXIS,autovec8rvv,0.7947,0.7074,0.3482,8.06,57.21,0.61,0.86,LOSS,0mism/0ULP
mxfp4,rvv,gcc-15.2,128,DEQ-AXIS,autovec5rvv,1.9814,5.9785,1.6717,7.49,15.78,3.48,0.58,WIN,0mism/0ULP
nvfp4,rvv,gcc-15.2,128,DEQ-AXIS,SCALAR0rvv,0.6599,0.6568,0.6587,1.40,0.41,0.53,0.80,LOSS,0mism/0ULP
tq1_0,rvv,gcc-15.2,128,DEQ-AXIS,autovec51rvv,0.6570,1.1280,1.1269,1.41,1.42,1.79,1.59,WIN,0mism/0ULP
tq2_0,rvv,gcc-15.2,128,DEQ-AXIS,autovec24rvv,0.5703,0.4876,0.4938,28.63,2.39,1.53,3.14,LOSS,0mism/0ULP
