fmt,mode,kernel,nr,nc,n,int_mismatch,norm_ulp|maxAbsErr_over_rms,verdict
q6_K,INT,GEVM,1,16,256,0,,BYTE-EXACT-INT
q6_K,INT,GEVM,1,32,512,0,,BYTE-EXACT-INT
q6_K,INT,GEVM,1,256,256,0,,BYTE-EXACT-INT
q6_K,INT,GEVM,1,160,2560,0,,BYTE-EXACT-INT
q6_K,INT,GEMM,4,32,512,0,,BYTE-EXACT-INT
q6_K,INT,GEMM,8,64,256,0,,BYTE-EXACT-INT
q6_K,INT,GEMM,16,256,256,0,,BYTE-EXACT-INT
q6_K,INT,GEMM,4,160,2560,0,,BYTE-EXACT-INT
q6_K,NORM,GEVM,1,16,256,,1|1.082e-07,
q6_K,NORM,GEVM,1,32,512,,13|2.112e-07,
q6_K,NORM,GEVM,1,256,256,,1|2.104e-07,
q6_K,NORM,GEVM,1,160,2560,,257|1.675e-07,
q6_K,NORM,GEMM,4,32,512,,12|2.988e-07,
q6_K,NORM,GEMM,8,64,256,,1|4.986e-07,
q6_K,NORM,GEMM,16,256,256,,1|6.828e-07,
q6_K,NORM,GEMM,4,160,2560,,124|2.993e-07,
q3_K,INT,GEVM,1,16,256,0,,BYTE-EXACT-INT
q3_K,INT,GEVM,1,32,512,0,,BYTE-EXACT-INT
q3_K,INT,GEVM,1,256,256,0,,BYTE-EXACT-INT
q3_K,INT,GEVM,1,160,2560,0,,BYTE-EXACT-INT
q3_K,INT,GEMM,4,32,512,0,,BYTE-EXACT-INT
q3_K,INT,GEMM,8,64,256,0,,BYTE-EXACT-INT
q3_K,INT,GEMM,16,256,256,0,,BYTE-EXACT-INT
q3_K,INT,GEMM,4,160,2560,0,,BYTE-EXACT-INT
q3_K,NORM,GEVM,1,16,256,,1|8.347e-08,
q3_K,NORM,GEVM,1,32,512,,7|2.004e-07,
q3_K,NORM,GEVM,1,256,256,,1|2.647e-07,
q3_K,NORM,GEVM,1,160,2560,,917132|1.649e-07,
q3_K,NORM,GEMM,4,32,512,,23|1.848e-07,
q3_K,NORM,GEMM,8,64,256,,1|4.364e-07,
q3_K,NORM,GEMM,16,256,256,,1|4.328e-07,
q3_K,NORM,GEMM,4,160,2560,,124|4.044e-07,
q2_K,INT,GEVM,1,16,256,0,,BYTE-EXACT-INT
q2_K,INT,GEVM,1,32,512,0,,BYTE-EXACT-INT
q2_K,INT,GEVM,1,256,256,0,,BYTE-EXACT-INT
q2_K,INT,GEVM,1,160,2560,0,,BYTE-EXACT-INT
q2_K,INT,GEMM,4,32,512,0,,BYTE-EXACT-INT
q2_K,INT,GEMM,8,64,256,0,,BYTE-EXACT-INT
q2_K,INT,GEMM,16,256,256,0,,BYTE-EXACT-INT
q2_K,INT,GEMM,4,160,2560,0,,BYTE-EXACT-INT
q2_K,NORM,GEVM,1,16,256,,7|1.752e-07,
q2_K,NORM,GEVM,1,32,512,,3|1.711e-07,
q2_K,NORM,GEVM,1,256,256,,1122|2.460e-07,
q2_K,NORM,GEVM,1,160,2560,,27|2.292e-07,
q2_K,NORM,GEMM,4,32,512,,54|2.639e-07,
q2_K,NORM,GEMM,8,64,256,,332|3.312e-07,
q2_K,NORM,GEMM,16,256,256,,1803|5.769e-07,
q2_K,NORM,GEMM,4,160,2560,,466|3.969e-07,
