fmt,role,phase,board,vlen,K,nr,nc,account,kernel_cc,link_cc,opp_id,opp_cc,ours_gmacs,opp_gmacs,ratio_median,ratio_iqr_pct,numeric_gate,note
q4_1,tracer/empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q4_1_q8_1(dispatched block-dot),gcc-15.2.0-shipped,9.08,1.263,7.19,1.3,PASS(relerr~4e-5),opp ~6 rvv-insn intrinsic block-dot
q4_1,tracer/empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,kernel(symmetric),gcc-15.2.0,gcc-15.2.0,ggml_vec_dot_q4_1_q8_1,gcc-15.2.0-shipped,8.65,1.263,6.86,0.5,PASS(relerr~4e-5),win HOLDS under compiler symmetry
q4_0,reference,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q4_0_q8_0,gcc-15.2.0-shipped,8.18,1.231,6.65,0.5,PASS(relerr~2e-5),opp ~6 rvv-insn intrinsic
q4_0,reference,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,kernel(symmetric),gcc-15.2.0,gcc-15.2.0,ggml_vec_dot_q4_0_q8_0,gcc-15.2.0-shipped,8.33,1.231,6.76,0.6,PASS(relerr~2e-5),win HOLDS symmetric (NOT clang artifact)
q8_0,disputed,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q8_0_q8_0,gcc-15.2.0-shipped,4.34,1.242,3.50,0.3,PASS(relerr~2e-4),NET-NEW construction; selector historically DECLINEs routing
q8_0,disputed,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,kernel(symmetric),gcc-15.2.0,gcc-15.2.0,ggml_vec_dot_q8_0_q8_0,gcc-15.2.0-shipped,5.10,1.242,4.10,0.3,PASS(relerr~2e-4),gcc-ours FASTER than clang-ours; win HOLDS symmetric
q5_1,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q5_1_q8_1,gcc-15.2.0-shipped,3.92,2.90,1.33,3.0,PASS(relerr~7e-5),opp ~17 rvv-insn (better vectorized) => smaller margin
q5_1,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,kernel(symmetric),gcc-15.2.0,gcc-15.2.0,ggml_vec_dot_q5_1_q8_1,gcc-15.2.0-shipped,4.00,2.90,1.41,3.0,PASS(relerr~7e-5),modest win holds symmetric
q5_0,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q5_0_q8_0,gcc-15.2.0-shipped,3.75,3.09,1.22,4.0,PASS(relerr~3e-5),opp block-dot ~17 rvv-insn bimodal ~2.95/3.16 GMAC/s (opp-side variance)
q5_0,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,16,512,kernel(symmetric),gcc-15.2.0,gcc-15.2.0,ggml_vec_dot_q5_0_q8_0,gcc-15.2.0-shipped,3.86,3.09,1.23,4.0,PASS(relerr~3e-5),~parity-plus; opp is best-vectorized flat opponent
q4_1,tracer,prefill-gemm,rvv-openEuler-VLEN128,128,2048,64,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q4_1_q8_1,gcc-15.2.0-shipped,9.06,1.263,7.16,0.5,PASS,nr=64 tile-depth: ratio nr-independent (confirms per-tile win)
q4_0,reference,prefill-gemm,rvv-openEuler-VLEN128,128,2048,64,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q4_0_q8_0,gcc-15.2.0-shipped,8.18,1.231,6.65,0.1,PASS,nr=64 tile-depth stable
q8_0,disputed,prefill-gemm,rvv-openEuler-VLEN128,128,2048,64,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q8_0_q8_0,gcc-15.2.0-shipped,4.33,1.246,3.47,0.5,PASS,nr=64 tile-depth stable
q5_1,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,64,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q5_1_q8_1,gcc-15.2.0-shipped,3.92,2.77,1.42,2.4,PASS,nr=64 tile-depth stable
q5_0,empty-cell,prefill-gemm,rvv-openEuler-VLEN128,128,2048,64,512,system(deploy),clang-18.1.8,gcc-15.2.0,ggml_vec_dot_q5_0_q8_0,gcc-15.2.0-shipped,3.75,2.77,1.35,0.8,PASS,nr=64 tile-depth stable
