kernel,target,phase,entry,symbol,source_bindings,physical_bindings,input_policy,repetitions,numeric,max_absolute_error,max_relative_error,throughput,unit,previous_weft,source,ratio,change_percent,log,local_artifacts,remote_artifacts
dequantize_row_iq1_m,K1/X60,tensor,examples/kernels/dequantize/iq1_m.py,row_dequantize_iq1_m,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,349.936071,MEl/s,349.318900,121.667900,2.876158,0.177,/tmp/weft-band-final-runs.BxYFeq/k1-080-dequantize_row_iq1_m-tensor.log,/tmp/weft-row-dequantize.fwUmNX,k1:/tmp/weft-row-dequantize.n79myY
dequantize_row_iq1_s,K1/X60,tensor,examples/kernels/dequantize/iq1_s.py,row_dequantize_iq1_s,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,533.770941,MEl/s,533.359139,129.806058,4.112065,0.077,/tmp/weft-band-final-runs.BxYFeq/k1-085-dequantize_row_iq1_s-tensor.log,/tmp/weft-row-dequantize.yijRtD,k1:/tmp/weft-row-dequantize.ZUwOam
dequantize_row_iq2_s,K1/X60,tensor,examples/kernels/dequantize/iq2_s.py,row_dequantize_iq2_s,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,212.565017,MEl/s,213.462627,146.691980,1.449057,-0.420,/tmp/weft-band-final-runs.BxYFeq/k1-059-dequantize_row_iq2_s-tensor.log,/tmp/weft-row-dequantize.anSSad,k1:/tmp/weft-row-dequantize.Dwk2w6
dequantize_row_iq2_xs,K1/X60,tensor,examples/kernels/dequantize/iq2_xs.py,row_dequantize_iq2_xs,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,252.479921,MEl/s,251.545930,136.691485,1.847079,0.371,/tmp/weft-band-final-runs.BxYFeq/k1-067-dequantize_row_iq2_xs-tensor.log,/tmp/weft-row-dequantize.WQ9Dbm,k1:/tmp/weft-row-dequantize.SvxTlM
dequantize_row_iq2_xxs,K1/X60,tensor,examples/kernels/dequantize/iq2_xxs.py,row_dequantize_iq2_xxs,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,441.645267,MEl/s,441.130097,148.438660,2.975271,0.117,/tmp/weft-band-final-runs.BxYFeq/k1-081-dequantize_row_iq2_xxs-tensor.log,/tmp/weft-row-dequantize.OlULL8,k1:/tmp/weft-row-dequantize.MQRGEk
dequantize_row_iq3_s,K1/X60,tensor,examples/kernels/dequantize/iq3_s.py,row_dequantize_iq3_s,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,156.526410,MEl/s,158.002969,152.124657,1.028935,-0.935,/tmp/weft-band-final-runs.BxYFeq/k1-018-dequantize_row_iq3_s-tensor.log,/tmp/weft-row-dequantize.2bMHIZ,k1:/tmp/weft-row-dequantize.uWwFof
dequantize_row_iq3_xxs,K1/X60,tensor,examples/kernels/dequantize/iq3_xxs.py,row_dequantize_iq3_xxs,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,288.740819,MEl/s,288.614396,148.399270,1.945702,0.044,/tmp/weft-band-final-runs.BxYFeq/k1-068-dequantize_row_iq3_xxs-tensor.log,/tmp/weft-row-dequantize.53ocQw,k1:/tmp/weft-row-dequantize.da3DB7
dequantize_row_iq4_nl,K1/X60,tensor,examples/kernels/dequantize/iq4_nl.py,row_dequantize_iq4_nl,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,441.241729,MEl/s,440.397228,155.038185,2.846020,0.192,/tmp/weft-band-final-runs.BxYFeq/k1-079-dequantize_row_iq4_nl-tensor.log,/tmp/weft-row-dequantize.cVbLCZ,k1:/tmp/weft-row-dequantize.mpyAkF
dequantize_row_iq4_xs,K1/X60,tensor,examples/kernels/dequantize/iq4_xs.py,row_dequantize_iq4_xs,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,357.591617,MEl/s,357.294813,157.965043,2.263739,0.083,/tmp/weft-band-final-runs.BxYFeq/k1-075-dequantize_row_iq4_xs-tensor.log,/tmp/weft-row-dequantize.RGvGxu,k1:/tmp/weft-row-dequantize.zMWS6R
dequantize_row_mxfp4,K1/X60,tensor,examples/kernels/dequantize/mxfp4.py,row_dequantize_mxfp4,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,260.946403,MEl/s,261.445027,164.129294,1.589883,-0.191,/tmp/weft-band-final-runs.BxYFeq/k1-063-dequantize_row_mxfp4-tensor.log,/tmp/weft-row-dequantize.UohQbi,k1:/tmp/weft-row-dequantize.CfCemN
