category,kernel,phase,hardware,implementation,shape,median_ms,throughput,throughput_unit
matrix_multiplication,mul_mat_f32,decode,SG2044,RVV F32 vec-dot,M=1;N=4096;K=4096,20.612,1.627926,GOP/s
matrix_multiplication,mul_mat_f32,decode,K1/X60,RVV F32 vec-dot,M=1;N=4096;K=4096,16.715,2.007385,GOP/s
matrix_multiplication,mul_mat_f16,decode,SG2044,RVV F16 vec-dot,M=1;N=4096;K=4096,7.387,4.542330,GOP/s
matrix_multiplication,mul_mat_f16,decode,K1/X60,RVV F16 vec-dot,M=1;N=4096;K=4096,9.785,3.429088,GOP/s
matrix_multiplication,mul_mat_q1_0,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,14.379,2.333519,GOP/s
matrix_multiplication,mul_mat_q1_0,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,9.078,3.696397,GOP/s
matrix_multiplication,mul_mat_q4_0,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,13.661,2.456199,GOP/s
matrix_multiplication,mul_mat_q4_0,decode,K1/X60,IME1 asm,M=1;N=4096;K=4096,2.941,11.409209,GOP/s
matrix_multiplication,mul_mat_q4_1,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,13.336,2.516081,GOP/s
matrix_multiplication,mul_mat_q4_1,decode,K1/X60,IME1 asm,M=1;N=4096;K=4096,3.519,9.535097,GOP/s
matrix_multiplication,mul_mat_q5_0,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,5.444,6.163659,GOP/s
matrix_multiplication,mul_mat_q5_0,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,18.758,1.788813,GOP/s
matrix_multiplication,mul_mat_q5_1,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,5.797,5.788574,GOP/s
matrix_multiplication,mul_mat_q5_1,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,19.692,1.703933,GOP/s
matrix_multiplication,mul_mat_q8_0,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,60.024,0.559013,GOP/s
matrix_multiplication,mul_mat_q8_0,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,16.003,2.096733,GOP/s
matrix_multiplication,mul_mat_q2_K,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,3.806,8.815042,GOP/s
matrix_multiplication,mul_mat_q2_K,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,13.958,2.403987,GOP/s
matrix_multiplication,mul_mat_q3_K,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,4.665,7.192864,GOP/s
matrix_multiplication,mul_mat_q3_K,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,14.014,2.394356,GOP/s
matrix_multiplication,mul_mat_q4_K,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,3.760,8.923346,GOP/s
matrix_multiplication,mul_mat_q4_K,decode,K1/X60,IME1 asm,M=1;N=4096;K=4096,3.436,9.766010,GOP/s
matrix_multiplication,mul_mat_q5_K,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,25.712,1.305015,GOP/s
matrix_multiplication,mul_mat_q5_K,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,27.260,1.230904,GOP/s
matrix_multiplication,mul_mat_q6_K,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,6.917,4.851051,GOP/s
matrix_multiplication,mul_mat_q6_K,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,14.384,2.332811,GOP/s
matrix_multiplication,mul_mat_iq1_s,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,12.033,2.788436,GOP/s
matrix_multiplication,mul_mat_iq1_s,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,12.531,2.677784,GOP/s
matrix_multiplication,mul_mat_iq1_m,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,7.389,4.541027,GOP/s
matrix_multiplication,mul_mat_iq1_m,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,23.535,1.425721,GOP/s
matrix_multiplication,mul_mat_iq2_s,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,16.593,2.022167,GOP/s
matrix_multiplication,mul_mat_iq2_s,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,23.214,1.445449,GOP/s
matrix_multiplication,mul_mat_iq2_xs,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,9.616,3.489556,GOP/s
matrix_multiplication,mul_mat_iq2_xs,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,19.069,1.759671,GOP/s
matrix_multiplication,mul_mat_iq2_xxs,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,8.315,4.035300,GOP/s
matrix_multiplication,mul_mat_iq2_xxs,decode,K1/X60,RVV quantized vec-dot,M=1;N=4096;K=4096,20.138,1.666187,GOP/s
matrix_multiplication,mul_mat_iq3_s,decode,SG2044,RVV quantized vec-dot,M=1;N=4096;K=4096,40.956,0.819278,GOP/s
