runner,request,entry,compiler_arguments,status,numeric,repetitions,cold_median_us,cold_median_ms,cold_gop_s,cold_melements_s,melements_s,same_generated_c,stable_final_replay,reason
weft-kernel.sh,k1 gemm_f32,dense/gemm_f32.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta MC=64 --meta NC=16 --meta MR=2 --meta NR=2 --matrix-extension=none,PASS,within-tolerance,10,1689662.765,,2.541908,,,True,True,
weft-kernel.sh,k1 gemv_f32,dense/gemv_f32.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta MR=4 --meta KB=64 --matrix-extension=none,PASS,within-tolerance,10,97820.075,,1.200577,,,True,True,
weft-kernel.sh,k1 ime_i8_contract,dense/ime_i8_contract.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta MR=4 --meta NR=4 --meta KB=8 --matrix-extension=spacemit-ime1,PASS,exact,10,,,,,,True,True,
weft-kernel.sh,k1 q4_k_gemv,gemv/q4_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --matrix-extension=none,PASS,within-tolerance,10,44874.882,,2.617066,,,True,True,
weft-kernel.sh,k1 q4_k_gemv_groups4,gemv/q4_k_groups4.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --matrix-extension=none,PASS,within-tolerance,10,39728.467,,2.956080,,,True,True,
weft-kernel.sh,k1 q8_0_quantize,quantize/q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --matrix-extension=none,PASS,bit-exact,10,,4.411476,,,415.962367,True,True,
weft-kernel.sh,k1 q8_1_quantize,quantize/q8_1.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --matrix-extension=none,PASS,bit-exact,10,,4.887212,,,375.471332,True,True,
weft-kernel.sh,k1 q8_K_quantize,quantize/q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --matrix-extension=none,PASS,bit-exact,10,,6.303336,,,291.116958,True,True,
weft-mul-mat.sh,k1 f16 decode,mul_mat/f16.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta KC=4096 --meta MC=16 --meta MR=2 --meta NR=2 --meta KB=4096 --auto-lmul-eighths=16,PASS,within-tolerance,10,9880.099,,3.396164,,,True,True,
weft-mul-mat.sh,k1 f16 prefill,mul_mat/f16.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta KC=4096 --meta MC=16 --meta MR=2 --meta NR=2 --meta KB=4096 --auto-lmul-eighths=16,PASS,within-tolerance,10,741763.383,,5.790212,,,True,True,
weft-mul-mat.sh,k1 f32 decode,dense/gemm_f32.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=64 --meta MC=64 --meta NR=1 --meta MR=2 --auto-lmul-eighths=32,PASS,within-tolerance,10,16146.606,,2.078110,,,True,True,
weft-mul-mat.sh,k1 f32 prefill,dense/gemm_f32.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=16 --meta MC=64 --meta NR=4 --meta MR=4 --auto-lmul-eighths=8,PASS,within-tolerance,10,1114916.927,,3.852276,,,True,True,
weft-mul-mat.sh,k1 iq1_m decode,mul_mat/iq1_m_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,39623.084,,0.846840,,,True,True,
