kernel,target,phase,weft,source,ratio,measurement
iq2_xxs_q8_k,SG2044,decode,3.161743,4.038334,0.782933,targeted-rerun
mul_mat_iq2_xxs,SG2044,decode,3.151632,3.980441,0.791780,targeted-rerun
mul_mat_tq1_0,SG2044,prefill,10.139560,7.981489,1.270385,targeted-rerun
mul_mat_iq1_s,SG2044,prefill,4.987190,4.854846,1.027260,targeted-rerun
mul_mat_iq1_m,K1/X60,decode,1.215384,1.424159,0.853405,targeted-rerun
iq1_m_q8_k,K1/X60,decode,1.203157,1.435304,0.838259,targeted-rerun
dequantize_row_iq3_s,SG2044,tensor,696.065127,358.175832,1.943362,targeted-rerun
tq1_0_q8_k,SG2044,decode,8.717413,8.123996,1.073045,targeted-rerun
iq3_xxs_q8_k,SG2044,decode,2.196920,2.673523,0.821732,targeted-rerun
mul_mat_tq1_0,SG2044,decode,8.752956,8.015470,1.092008,targeted-rerun
iq1_s_q8_k,K1/X60,decode,2.149145,2.711676,0.792552,targeted-rerun
iq1_s_q8_k,SG2044,decode,4.121392,4.861243,0.847806,targeted-rerun
mul_mat_iq1_s,K1/X60,decode,2.156460,2.663380,0.809670,targeted-rerun
mul_mat_iq1_s,SG2044,decode,4.135184,4.839919,0.854391,targeted-rerun
q2_k_q8_k,SG2044,decode,7.828880,9.460538,0.827530,targeted-rerun
iq1_m_q8_k,SG2044,decode,2.665791,2.650472,1.005780,targeted-rerun
mul_mat_iq1_m,SG2044,decode,2.710478,2.639333,1.026956,targeted-rerun
mul_mat_q1_0,SG2044,prefill,9.921595,11.411757,0.869419,targeted-rerun
mul_mat_q2_k,SG2044,decode,7.704295,9.337415,0.825099,targeted-rerun
iq4_nl_q8_0,K1/X60,decode,2.381599,2.821807,0.843998,targeted-rerun
mul_mat_iq4_nl,K1/X60,decode,2.373940,2.762856,0.859234,targeted-rerun
mul_mat_iq2_xxs,K1/X60,prefill,2.635150,1.705121,1.545433,targeted-rerun
mul_mat_iq1_m,SG2044,prefill,2.909006,2.634283,1.104288,targeted-rerun
q4_k_q8_k,SG2044,decode,8.986021,10.143147,0.885920,targeted-rerun
mul_mat_q6_k,K1/X60,prefill,2.266030,2.506236,0.904157,targeted-rerun
mul_mat_q4_1,K1/X60,prefill,2.268419,2.159644,1.050367,targeted-rerun
mxfp4_q8_0,K1/X60,decode,2.363346,2.580476,0.915857,targeted-rerun
mul_mat_mxfp4,K1/X60,decode,2.362997,2.535316,0.932033,targeted-rerun
iq3_xxs_q8_k,K1/X60,decode,1.365122,1.447514,0.943080,targeted-rerun
mul_mat_q4_k,SG2044,decode,9.068164,9.618902,0.942744,targeted-rerun
mul_mat_iq3_xxs,K1/X60,prefill,1.403608,1.472475,0.953230,targeted-rerun
mul_mat_iq3_xxs,K1/X60,decode,1.377925,1.436230,0.959404,targeted-rerun
mul_mat_q4_k,SG2044,prefill,9.175049,9.636848,0.952080,targeted-rerun
mul_mat_iq3_xxs,SG2044,prefill,2.831376,2.919829,0.969706,targeted-rerun
q6_k_q8_k,SG2044,decode,4.719221,4.936994,0.955890,targeted-rerun
mul_mat_iq4_nl,K1/X60,prefill,3.230077,2.870430,1.125294,targeted-rerun
q6_k_q8_k,K1/X60,decode,2.455563,2.321293,1.057843,targeted-rerun
iq4_nl_q8_0,SG2044,decode,6.471515,6.649981,0.973163,full-rerun
tq1_0_q8_k,K1/X60,decode,4.770269,3.408741,1.399423,targeted-rerun
q4_0_q8_0,SG2044,decode,7.702504,7.562736,1.018481,targeted-rerun
q3_k_q8_k,SG2044,decode,7.327597,7.489920,0.978328,targeted-rerun
mul_mat_q1_0,K1/X60,prefill,3.705024,3.785883,0.978642,targeted-rerun
mul_mat_f16,SG2044,decode,4.805765,4.910278,0.978715,full-rerun
mul_mat_f16,K1/X60,prefill,5.801544,5.920323,0.979937,full-rerun
mul_mat_q4_0,SG2044,decode,7.295630,7.426307,0.982404,full-rerun
mul_mat_q4_1,SG2044,decode,6.070076,6.163456,0.984849,targeted-rerun
mul_mat_q8_0,K1/X60,prefill,2.195318,2.227205,0.985683,full-rerun
mul_mat_q5_1,SG2044,decode,4.389486,4.451393,0.986093,targeted-rerun
dequantize_row_iq3_s,K1/X60,tensor,244.450255,152.124657,1.606908,targeted-rerun
mul_mat_q2_k,SG2044,prefill,9.542808,9.658093,0.988063,targeted-rerun
dequantize_row_iq1_m,SG2044,tensor,696.894186,704.489798,0.989218,targeted-rerun
dequantize_row_q1_0,SG2044,tensor,742.386882,746.193360,0.994899,targeted-rerun
q4_1_q8_1,SG2044,decode,6.259834,6.279975,0.996793,targeted-rerun
mul_mat_iq1_s,K1/X60,prefill,2.732845,2.740584,0.997176,targeted-rerun
q5_1_q8_1,SG2044,decode,4.757137,4.768850,0.997544,targeted-rerun
dequantize_row_iq1_s,SG2044,tensor,726.445533,727.099121,0.999101,full-rerun
mul_mat_tq1_0,K1/X60,decode,4.819722,3.338873,1.443518,targeted-rerun
mul_mat_iq2_xs,SG2044,decode,4.113865,4.091731,1.005409,targeted-rerun
mul_mat_iq4_nl,SG2044,decode,6.552751,6.514902,1.005810,targeted-rerun
