kernel,target,phase,entry,symbol,source_bindings,physical_bindings,input_policy,repetitions,numeric,max_absolute_error,max_relative_error,throughput,unit,previous_weft,source,ratio,change_percent,log,local_artifacts,remote_artifacts
iq1_m_q8_k,SG2044,decode,examples/kernels/vec_dot/iq1_m_q8_k.py,quantized_vec_dot_iq1_m_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":2}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.187488,GOP/s,1.091291,2.650472,0.825320,100.450,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-000-iq1_m_q8_k-decode.log,/tmp/weft-quantized-vec-dot.BXSXJ9,rvv:/tmp/weft-quantized-vec-dot.G5X5zH
tq1_0_q8_k,SG2044,decode,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py,quantized_vec_dot_tq1_0_q8_k_lane16,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,5.290342,GOP/s,4.816287,8.123996,0.651199,9.843,/tmp/weft-closure-regression.cHyRjn/sg2044-001-tq1_0_q8_k-decode.log,/tmp/weft-quantized-vec-dot.XPvkzM,rvv:/tmp/weft-quantized-vec-dot.mnb7tR
mul_mat_iq1_m,K1/X60,decode,examples/kernels/mul_mat/iq1_m_decode.py,production_mul_mat_iq1_m_decode,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,0.929375,GOP/s,0.846799,1.424159,0.652578,9.752,/tmp/weft-closure-regression.cHyRjn/optimized-k1-000-mul_mat_iq1_m-decode.log,/tmp/weft-mul-mat.S2XVQ2,k1:/tmp/weft-mul-mat.LdBRs8
mul_mat_tq1_0,SG2044,decode,examples/kernels/mul_mat/tq1_0_lane16_decode.py,production_mul_mat_tq1_0_lane16_decode,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,5.357824,GOP/s,4.784427,8.015470,0.668435,11.985,/tmp/weft-closure-regression.cHyRjn/sg2044-002-mul_mat_tq1_0-decode.log,/tmp/weft-mul-mat.siLYjf,rvv:/tmp/weft-mul-mat.RZNpuq
iq1_m_q8_k,K1/X60,decode,examples/kernels/vec_dot/iq1_m_q8_k.py,quantized_vec_dot_iq1_m_q8_k,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,0.946259,GOP/s,0.860998,1.435304,0.659274,9.903,/tmp/weft-closure-regression.cHyRjn/optimized-k1-001-iq1_m_q8_k-decode.log,/tmp/weft-quantized-vec-dot.vwsgfK,k1:/tmp/weft-quantized-vec-dot.ABW3Fk
dequantize_row_iq3_s,SG2044,tensor,examples/kernels/dequantize/iq3_s.py,row_dequantize_iq3_s,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,254.375808,MEl/s,253.651418,358.175832,0.710198,0.286,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-001-dequantize_row_iq3_s-tensor.log,/tmp/weft-row-dequantize.jTAKeu,rvv:/tmp/weft-row-dequantize.6EqAui
mul_mat_tq1_0,SG2044,prefill,examples/kernels/mul_mat/tq1_0.py,production_mul_mat_tq1_0,"{""MC"":16,""MR"":2,""NC"":32,""NR"":1}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,4.579534,GOP/s,6.063811,7.981489,0.573769,-24.478,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-002-mul_mat_tq1_0-prefill.log,/tmp/weft-mul-mat.YSpw7m,rvv:/tmp/weft-mul-mat.QmarQs
mul_mat_iq1_m,SG2044,decode,examples/kernels/mul_mat/iq1_m_decode.py,production_mul_mat_iq1_m_decode,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":2}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.191551,GOP/s,2.033534,2.639333,0.830343,7.771,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-003-mul_mat_iq1_m-decode.log,/tmp/weft-mul-mat.jbHZ92,rvv:/tmp/weft-mul-mat.AiC2QA
mul_mat_iq1_m,SG2044,prefill,examples/kernels/mul_mat/iq1_m.py,production_mul_mat_iq1_m,"{""MC"":8,""MR"":2,""NC"":32,""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.515547,GOP/s,2.254551,2.634283,0.954927,11.576,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-004-mul_mat_iq1_m-prefill.log,/tmp/weft-mul-mat.IogFyr,rvv:/tmp/weft-mul-mat.Iaty0A
tq1_0_q8_k,K1/X60,decode,examples/kernels/vec_dot/tq1_0_q8_k.py,quantized_vec_dot_tq1_0_q8_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.211882,GOP/s,3.210671,3.408741,0.942249,0.038,/tmp/weft-closure-regression.cHyRjn/k1-002-tq1_0_q8_k-decode.log,/tmp/weft-quantized-vec-dot.44VNPR,k1:/tmp/weft-quantized-vec-dot.4E7IXi
mul_mat_tq1_0,K1/X60,decode,examples/kernels/mul_mat/tq1_0_decode.py,production_mul_mat_tq1_0_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.249594,GOP/s,3.235087,3.338873,0.973261,0.448,/tmp/weft-closure-regression.cHyRjn/k1-003-mul_mat_tq1_0-decode.log,/tmp/weft-mul-mat.8ovZ9Q,k1:/tmp/weft-mul-mat.2jN1QT
dequantize_row_iq1_m,SG2044,tensor,examples/kernels/dequantize/iq1_m.py,row_dequantize_iq1_m,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,473.117450,MEl/s,700.363089,704.489798,0.671575,-32.447,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-005-dequantize_row_iq1_m-tensor.log,/tmp/weft-row-dequantize.I0VMgS,rvv:/tmp/weft-row-dequantize.IzWTzE
iq2_xs_q8_k,SG2044,decode,examples/kernels/vec_dot/iq2_xs_q8_k.py,quantized_vec_dot_iq2_xs_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.524658,GOP/s,4.171873,4.164948,0.846267,-15.514,/tmp/weft-closure-regression.cHyRjn/copy-sg2044-006-iq2_xs_q8_k-decode.log,/tmp/weft-quantized-vec-dot.E0XY0L,rvv:/tmp/weft-quantized-vec-dot.bipez3
